   ,DEL_DATE,SHOP_CODE,MATERIAL,EFF_DURATION,DELAY_FROM,DELAY_TO,DELAY_DURN,CUM_DELAY,EQPT,SUB_EQPT,EFF_DURN
64955,11/12/2003,1,others,8,10,18,8,8,others,"CO-5,8,11",8
65813,11/6/2003,1,others,0.583333,3.05,3.4,0.35,0.35,OT-2,CO-64,0.583333
67231,10/26/2003,1,others,4.25,11.45,16,4.15,4.15,BRC,CO-32,4.25
67233,10/26/2003,1,others,8.5,9,17.3,8.3,8.3,BRC,CO-34,8.5
67241,10/26/2003,1,ICC,8.5,9,17.3,8.3,8.3,others,CO-59,8.5
67404,10/25/2003,1,others,1.666667,15.35,17.15,1.4,1.4,OT-3,CO-15.,1.666667
69406,10/11/2003,1,others,4.333333,8,12.2,4.2,4.2,OT-2,CO-12,4.333333
69458,10/10/2003,1,MCC,9.25,8,17.15,9.15,9.15,others,CO-12,9.25
69485,10/10/2003,1,others,6.5,10.45,17.15,6.3,6.3,BRC,CO-28,6.5
70116,10/6/2003,1,others,3.5,6,9.3,3.3,3.3,LOCP,CO-48,3.5
70365,10/5/2003,1,MCC,1.25,14,15.15,1.15,1.15,LOCP,CO-29,1.25
70366,10/5/2003,1,BC,8.25,9.3,17.45,8.15,8.15,others,"CO-61,68",8.25
70742,10/2/2003,1,BC,8.833333,9.3,18.2,8.5,8.5,BRC,CO-32,8.833333
70853,10/1/2003,1,others,0.416667,5.05,5.3,0.25,0.25,others,CO-25 - 32,0.416667
71449,9/27/2003,1,others,8,10,18,8,8,BRC,CO-34,8
71453,9/27/2003,1,ICC,9,9,18,9,9,BRC,CO-28,9
71468,9/27/2003,1,others,8.75,9.15,18,8.45,8.45,OT-2,"CO-14,10",8.75
72532,9/20/2003,1,MCC,8,10,18,8,8,others,CO-53,8
74458,9/8/2003,1,MCC,1,8,9,1,1,BRC,CO-66,1
75004,9/4/2003,1,others,1,6,7,1,1,BRC,CO-62,1
76887,8/21/2003,1,MCC,2,18.45,20.45,2,2,BRC,CO-28,2
77183,8/19/2003,1,ICC,0.583333,9.45,10.2,0.35,0.35,OT-3,CO-8,0.583333
77802,8/14/2003,1,others,9,9.3,18.3,9,9,BRC,CO-30,9
77997,8/13/2003,1,ICC,12,9.3,21.3,12,12,BRC,CO-34,12
78139,8/12/2003,1,others,7.75,8,15.45,7.45,7.45,LOCP,CO-48,7.75
78238,8/11/2003,1,ICC,10.5,9.3,20,10.3,10.3,others,"CO-6,9",10.5
78262,8/11/2003,1,MCC,0.5,0,0,0.3,0.3,OT-3,CO-13,0.5
78314,8/11/2003,1,others,0.5,1,1.3,0.3,0.3,others,CO-66,0.5
78480,8/10/2003,1,BC,0.833333,1.35,2.25,0.5,0.5,others,CO-66,0.833333
78851,8/7/2003,1,others,9,10,19,9,9,BRC,CO-32,9
78962,8/7/2003,1,others,9,10,19,9,9,others,"CO-60,63",9
62,3/31/2005,2,others,8,9,17,8,8,others,CO-17,8
73,3/31/2005,2,others,0.666667,9,9.4,0.4,0.4,LOCP,CO-51,0.666667
87,3/31/2005,2,BF-COK,9,9,18,9,9,others,"CO-76,84",9
411,3/28/2005,2,BF-LS,1,16.35,17.35,1,1,BRC,CO-66,1
584,3/27/2005,2,others,4.5,19.3,0,4.3,4.3,BRC,CO-34,4.5
592,3/27/2005,2,BF-LS,1.5,0,1.3,1.3,1.3,others,CO-77,1.5
1175,3/22/2005,2,I-O-L,1.5,11.3,13,1.3,1.3,OT-2,CO-11,1.5
1214,3/21/2005,2,I-O-F,2.166667,0.1,2.2,2.1,2.1,OT-3,CO-2,2.166667
1819,3/16/2005,2,others,1.333333,8.3,9.5,1.2,1.2,others,CO-66,1.333333
1823,3/16/2005,2,I-O-F,1.5,10.15,11.45,1.3,1.3,LOCP,CO-48,1.5
2110,3/14/2005,2,I-O-L,0.75,23.45,0.3,0.45,0.45,OT-1,CO-13,0.75
2756,3/8/2005,2,others,1.5,23,0.3,1.3,1.3,LOCP,CO-48,1.5
2926,3/7/2005,2,I-O-F,10.5,8,18.3,10.3,10.3,others,"CO-5,8,11",10.5
2927,3/7/2005,2,I-O-F,1,15.15,16.15,1,1,OT-1,"CO-5,8,11",1
